,CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL, 
11303,14DES0044Q,MATUTINO,CUAUHTEMOC,MARIA TERESA CAMPIRANO 43,1,ZAPOPAN,9080,LA EXPERIENCIA,120,ZAPOPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0468,0.0109,0.0095,0.908,
11304,14DES0045P,MATUTINO,LAURO MONTENEGRO CASTRO,CONSTITUCION 18,1,TECHALUTA DE MONTENEGRO,0,0,89,TECHALUTA DE MONTENEGRO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0301,0,0,0.9792,
11305,14DES0046O,MATUTINO,FAUSTO T RODRIGUEZ,VALENTIN GOMEZ FARIAS 5,1,VILLA CORONA,9000,VILLA CORONA (ZONA CENTRO),114,VILLA CORONA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0148,0,0,0.9748,
11306,14DES0047N,MATUTINO,ROSARIO CASTELLANOS,PIRUL 1,1,TUXPAN,0,0,108,TUXPAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0247,0.0106,0.0085,0.9249,
11307,14DES0048M,MATUTINO,LUIS MANUEL ROJAS,VIRGINIO MATA 13,4,EL CARMEN (EL CAPULIN),0,0,3,AHUALULCO DE MERCADO,FEDERALIZADO,SECUNDARIA,GENERAL,0,0,0,0.8913,
11308,14DES0049L,VESPERTINO,MARIANO OTERO,CAMINO A TLAJOMULCO,1,TLAQUEPAQUE,6013,SAN SEBASTIANITO,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0851,0.0698,0.0558,0.7758,
11309,14DES0049L,MATUTINO,MARIANO OTERO,CAMINO A TLAJOMULCO,1,TLAQUEPAQUE,6013,SAN SEBASTIANITO,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,SECUNDARIA,GENERAL,0.0159,0.0392,0.0184,0.8357,
11310,14DES0050A,VESPERTINO,RICARDO FLORES MAGON,SECUNDINA GALLO 231,1,GUADALAJARA,9359,SAN ANDRES,39,GUADALAJARA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0612,0.0342,0.028,0.8291,
11311,14DES0050A,MATUTINO,RICARDO FLORES MAGON,SECUNDINA GALLO 231,1,GUADALAJARA,9359,SAN ANDRES,39,GUADALAJARA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0217,0.0056,0,0.8607,
11312,14DES0051Z,MATUTINO,JOSE LUIS LEPE GALINDO,AVENIDA EMILIANO ZAPATA 15,40,SAN CLEMENTE,0,0,110,UNION DE TULA,FEDERALIZADO,SECUNDARIA,GENERAL,0,0,0,0.5455,
11313,14DES0052Z,MATUTINO,RAFAEL RAMIREZ,PROLONGACION BELLAVISTA,1,VILLA HIDALGO,0,0,116,VILLA HIDALGO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0437,0.0257,0.02,0.8583,
11314,14DES0052Z,VESPERTINO,RAFAEL RAMIREZ,PROLONGACION BELLAVISTA,1,VILLA HIDALGO,0,0,116,VILLA HIDALGO,FEDERALIZADO,SECUNDARIA,GENERAL,0.0455,0.0238,0.0208,0.9661,
11315,14DES0054X,MATUTINO,JUAN TERRIQUEZ,CAMINO AL BAJIO 219,1,ZAPOTLANEJO,9009,CONSTITUCION,124,ZAPOTLANEJO,FEDERALIZADO,SECUNDARIA,GENERAL,0.059,0.0072,0.0024,0.8521,
11316,14DES0055W,MATUTINO,JUAN JOSE ARREOLA ZU‹IGA,PROLONGACION FRANCISCO I MADERO,1,TOLIMAN,0,0,99,TOLIMAN,FEDERALIZADO,SECUNDARIA,GENERAL,0.0153,0,0,1,
11317,14DES0056V,VESPERTINO,GUILLERMO MARTINEZ MORA,LIBIA 1055,1,PUERTO VALLARTA,9041,LA TRINIDAD,67,PUERTO VALLARTA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0728,0.0576,0.0105,0.7625,
11318,14DES0056V,MATUTINO,GUILLERMO MARTINEZ MORA,LIBIA 1055,1,PUERTO VALLARTA,9041,LA TRINIDAD,67,PUERTO VALLARTA,FEDERALIZADO,SECUNDARIA,GENERAL,0.0233,0.0239,0.0139,0.8202,
